Image,Predicted Class
/home/woody/iwso/iwso092h/leaf_clf/test/ykfjqwxvdhfr6em21dg7.jpg,7
/home/woody/iwso/iwso092h/leaf_clf/test/txg15jzmt8lxwpgeg4gi.jpg,3
/home/woody/iwso/iwso092h/leaf_clf/test/wyzepvos2tjv6p1wj9ak.jpg,3
/home/woody/iwso/iwso092h/leaf_clf/test/60psybqkktdbldb3xvvy.jpg,0
/home/woody/iwso/iwso092h/leaf_clf/test/vs87yc120lp1k3f228a1.jpg,3
/home/woody/iwso/iwso092h/leaf_clf/test/xl7fbsoxzntejaqnfq4n.jpg,0
/home/woody/iwso/iwso092h/leaf_clf/test/8sbnq99cxgbokszuiaz3.jpg,5
/home/woody/iwso/iwso092h/leaf_clf/test/iqdpowwovmjgfs9yn3e8.jpg,2
/home/woody/iwso/iwso092h/leaf_clf/test/38vcphp8cfxm6oyrqggs.jpg,2
/home/woody/iwso/iwso092h/leaf_clf/test/bf7q7lagjv7zxx0z2la7.jpg,4
/home/woody/iwso/iwso092h/leaf_clf/test/hp84btnxw1eqofxc08fm.jpg,4
/home/woody/iwso/iwso092h/leaf_clf/test/kdchb5kx8ao5wqimruaa.jpg,4
/home/woody/iwso/iwso092h/leaf_clf/test/6frb2rwq73ytrtnygfai.jpg,1
/home/woody/iwso/iwso092h/leaf_clf/test/r1ue81fm6pf6or2lc56q.jpg,3
/home/woody/iwso/iwso092h/leaf_clf/test/2sgdexdir2bzd0rghscl.jpg,7
/home/woody/iwso/iwso092h/leaf_clf/test/fmvjy51pcewvhrwuo3x2.jpg,8
/home/woody/iwso/iwso092h/leaf_clf/test/rplpfl9v5a9sw4hycvaz.jpg,0
/home/woody/iwso/iwso092h/leaf_clf/test/o0251azxbqfjnd78ie1l.jpg,0
/home/woody/iwso/iwso092h/leaf_clf/test/1122110wyrbeiaudnr7b.jpg,9
/home/woody/iwso/iwso092h/leaf_clf/test/hl62noi8l2boo3m9lgh1.jpg,5
/home/woody/iwso/iwso092h/leaf_clf/test/cofg9p97qxxser0jude3.jpg,4
/home/woody/iwso/iwso092h/leaf_clf/test/isbpk2ti1wn3icst56oc.jpg,7
/home/woody/iwso/iwso092h/leaf_clf/test/kamp579c1d8o9g1obugy.jpg,0
/home/woody/iwso/iwso092h/leaf_clf/test/e9h5jspo9h2z0e8c79o0.jpg,4
/home/woody/iwso/iwso092h/leaf_clf/test/mtaark1rvdon0zh0p52t.jpg,7
/home/woody/iwso/iwso092h/leaf_clf/test/wch1sb8iwnwqp3svyq3q.jpg,5
/home/woody/iwso/iwso092h/leaf_clf/test/al4iv66geb6lz9i16jku.jpg,4
/home/woody/iwso/iwso092h/leaf_clf/test/srjwlpiqq236jov89jdy.jpg,6
/home/woody/iwso/iwso092h/leaf_clf/test/m42m3ub1iutz64991qm2.jpg,9
/home/woody/iwso/iwso092h/leaf_clf/test/n4g8tdovdtzan2ocvgj0.jpg,5
/home/woody/iwso/iwso092h/leaf_clf/test/obu079x5wlppf9ti1vao.jpg,4
/home/woody/iwso/iwso092h/leaf_clf/test/akgk5zvpdictlqyqrae9.jpg,4
/home/woody/iwso/iwso092h/leaf_clf/test/s0z1ljzlzx2h80vgmgk1.jpg,5
/home/woody/iwso/iwso092h/leaf_clf/test/2oqd81donoua9okgw8tz.jpg,5
